Modismo;Definición Sonar;Definiciones Reales;Acorde;;
troilo;Persona torpe o distraída cuyo desempeño o razonamiento resulta insuficiente en una actividad concreta.;Referido a una persona, tonta o de poco entendimiento.;1;;
topo;Persona que actúa como informante o infiltrado dentro de un grupo, filtrando información al bando contrario.;Cacho del ganado. | Arete pequeño de forma redondeada.;0;;
calzón;Prenda de ropa interior que cubre la zona baja del torso y las nalgas, usada por mujeres y en algunos contextos también como término coloquial para referirse a ropa interior en general.;Prenda interior femenina que cubre generalmente desde la cintura hasta la ingle.;1;;
carenalga;Persona molesta o antipática.;persona de cara grande;0;;
humor;Estado de mal genio o irritación.;Olor corporal que identifica a una persona.;0;;
amarillearse;Acobardarse o perder valor ante una situación que requiere coraje.;Volverse amarilla una fruta al madurar, especialmente plátanos y bananos.;0;;
chácara;Herida profunda o cicatriz grande.;herida, cortadura profunda | Herida grande. | monedero | testículo;1;;
atrincar;Apretar, sujetar o asegurar algo con fuerza, normalmente mediante cuerdas, lazos o presión.;trincar, atar fuertemente;1;;
chiripazo;Acontecimiento afortunado y fortuito que resulta en un éxito o ganancia inesperada.;casualidad afortunada | Logro que se obtiene de manera fortuita.;1;;
prendo;Estado de estar animado o excitado por alcohol o estimulantes, con conducta enérgica pero sin pérdida completa de control.;Referido a una persona, que está ligeramente embriagada y animada.;1;;
achantada;Estado de desánimo, vergüenza o abatimiento que hace a una persona retraerse y perder entusiasmo.;Depresión, abatimiento. | Sensación de humillación.;1;;
cafetero;Persona vinculada a la producción, cultivo o comercio del café, o habitante y trabajador característico de las regiones cafeteras colombianas.;Relacionado con el café o su cultivo. | Persona que cultiva o negocia con café.;1;;
chumbe;Faja o ceñidor ancho usado tradicionalmente para sujetar la ropa o como prenda de sostén.;ceñidor para envolver a los bebés | Faja ancha y vistosa, tejida con diversos tipos de fibras de colores y que se usa principalmente para ajustarse la ropa o protegerse el vientre.;1;;
tapete;Alfombra gruesa y generalmente pequeña colocada en la entrada de un lugar para limpiarse los zapatos.;Tejido fuerte con que se cubre de manera permanente y de pared a pared el piso de las habitaciones de una edificación.;1;;
tomate;Persona que habla en exceso o cuenta chismes que avergüenzan o perjudican a otros.;Arbusto de hasta 3 o 4 m de altura de flores pequeñas y rosadas cuyo fruto es comestible. | Variedad de tomate resistente a las enfermedades, usado generalmente para la preparación de guisos y uso agroindustrial. | Variedad de tomate resistente a las enfermedades, usado generalmente para la preparación de guisos y uso agroindustrial.;0;;
chapetera;Borrachera o estado de embriaguez.;Borrachera.;1;;
uisa;Interjección coloquial usada para expresar sorpresa leve, asombro o incredulidad ante un hecho inesperado.;voz que se emplea para espantar a las gallinas;0;;
no saber o entender ni papa;"No comprender nada en absoluto; carecer totalmente de conocimiento o entendimiento sobre un asunto.";ser completamente ignorante en un tema;1;;
cocacolo;Joven afectado y presumido en su apariencia y modales, asociado a una subcultura juvenil de estilo cuidado y amanerado.;Joven entre 14 y 19 años. | adolescente;0;;
barequero;Persona que extrae oro de forma artesanal en ríos, playas o vetas usando técnicas manuales como la batea y otros instrumentos sencillos.;Persona que trabaja en la minería artesanal, extrayendo manualmente los metales y piedras preciosas sin ayuda de maquinaria pesada.;1;;
teja;Gorra o sombrero.;Enloquecerse, perder el juicio.;0;;
repuesto;Persona que actúa como compañero sexual ocasional o alternativo a la pareja estable.;Referido a una persona, que ha subido mucho de peso.;0;;
cachilapo;Ganado sin marca ni dueño que se ha vuelto salvaje en los Llanos Orientales de Colombia.;vehículo pequeño, carpado, utilizado para transportar personas, animales y bultos de regular tamaño;0;;
conservador, ra;Persona de ideas retrógradas o anticuadas, o miembro del Partido Conservador colombiano.;Seguidor de este partido político. | Relacionado con el partido Conservador Colombiano, uno de los partidos políticos tradicionales del país.;1;;
balneario;Lugar público de recreo o baño, generalmente junto a una playa, río o piscina, destinado al esparcimiento y descanso.;Lugar turístico, generalmente situado junto al mar o un río, en el que se ofrece distracción al visitante.;1;;
carrumba;Interjección colombiana que expresa sorpresa, asombro o admiración.;Juego infantil que consiste en un disco giratorio con dos orificios a través de los cuales se pasan dos cuerdas, se gira hasta enrollar las cuerdas y al acercar y separar las manos se produce un zumbido.;0;;
arepear;"Realizar o asar arepas; también, de manera vulgar, mantener relaciones sexuales, especialmente entre mujeres.";practicar actos lesbianos | dar palmadas a alguien, imitando la forma de apelmazar la masa del maíz | Realizar el acto sexual dos mujeres. | Hacer arepas.;1;;
mello;Estado de tranquilidad, bienestar o estar preparado adecuadamente para algo.;Referido a una persona, que es la melliza de otra. | Golpe que se da en la cabeza con los nudillos.;0;;
quijo;Fruto de forma redondeada, anaranjado, dorado, pardo o amarillo con pequeñas pintas claras y cáscara lisa, típico de Santander, Colombia.;clase de granadilla de corteza suave;1;;
machetajo;Golpe fuerte propinado con un machete.;Pez marino o de agua dulce, perteneciente al grupo de los róbalos, de cuerpo delgado color plateado, aletas pectorales más cortas que las aletas pélvicas, y una línea lateral que se extiende hasta la cola.;0;;
sampedrear;Participar alegremente en las festividades de San Pedro, especialmente salir de fiesta, bailar y divertirse en compañía.;divertirse en la fiesta de san pedro, el 29 de junio;1;;
mate;Bebida tradicional a base de hojas de yerba mate preparada en un recipiente y consumida compartiendo una bombilla, asociada a la sociabilidad y el ritual de compartir.;Recipiente de uso doméstico hecho del fruto del totumo para guardar diferentes alimentos o cargar líquidos.;0;;
chicuca;Pedazo o pieza pequeña en que se divide algo al romperse.;añicos | excremento | Pequeños trozos en los que se rompe un objeto.;1;;
guachaquear;Realizar una tarea con habilidad y eficacia, logrando un buen resultado de manera diestrosa y efectiva.;en el juego de dados, hacerlos sonar moviéndolos entre la mano, antes de arrojarlos a la mesa;0;;
nochero;Mueble pequeño con cajones colocado al lado de la cabecera de la cama.;Mesa de noche;1;;
viaticar;Viajar un empleado por motivo de trabajo a cuenta de la entidad que lo envía.;Viajar un empleado a trabajar, con los gastos pagados por la empresa que lo envía.;1;;
roce;Salida breve para dar un paseo o recorrido social.;Trato o relación con personas de estrato social alto.;0;;
cartelera;Lista o anuncio de películas, espectáculos o eventos disponibles.;Trabajo escolar que se realiza en una cartulina grande o un papel similar, en el que se escriben datos para exponer o ilustrar un tema.;0;;
canelazo;Bebida caliente tradicional andina preparada con aguardiente o ron, agua de panela o azúcar y canela, consumida para entrar en calor y en celebraciones.;trago de aguardiente en agua caliente, con azúcar, limón y canela | Bebida hecha con aguardiente, agua de panela y canela.;1;;
cochera;Lugar o espacio donde se crían cerdos.;corral de cerdos | lugar desordenado y sucio | Corral o criadero para cerdos.;1;;
avión;Persona astuta y despierta, hábil para aprovecharse o conseguir lo que desea.;que quiere sacar provecho o ventaja indebida en cualquier circunstancia;1;;
ombliguera;Prenda corta, como blusa o camiseta, que deja al descubierto el ombligo.;Prenda de vestir, blusa o camiseta, corta que deja al descubierto el ombligo.;1;;
aplicar;Usar influencias o trámites para conseguir un beneficio o colocar a alguien en un puesto, cargo o favor.;Solicitar algo siguiendo un trámite formal, especialmente a través de formularios.;0;;
chile;Persona atractiva, guapo o de buen aspecto.;Malla pequeña tejida en nylon que se usa para pescar.;0;;
guacal;Interjección coloquial usada en Colombia para expresar asco, repugnancia o fuerte rechazo ante algo desagradable.;cesta o jaula de madera o bejucos flexibles, que se utiliza para el transporte de aves de corral u objetos livianos o pesados | Caja hecha de listones delgados de madera, que se usa para transportar objetos o alimentos.;0;;
galpón;Gallinero.;cobertizo grande, con paredes o sin ellas | Lugar cubierto o semicubierto en donde se recogen las gallinas para dormir y poner.;1;;
miruñas;Objeto pequeño o insignificante.;El diablo.;0;;
lisa;Persona con tendencia a robar de manera casual cosas de poco valor o que no devuelve lo prestado.;Nombre de varias especies de pez de agua dulce, de hasta 36 cm de longitud, cuerpo fusiforme con escamas, aleta dorsal transparente, tiene hábitos gregarios y es comestible.;0;;
aguado;Dicho de un alimento o bebida, con exceso de agua y sin consistencia adecuada.;Referido a una sustancia, especialmente un alimento, con más agua o líquido del que debería tener y por tanto insípida.;1;;
cachona;Persona infiel a su pareja.;Guitarra.;0;;
hueva;Persona tonta, estúpida o falto de astucia.;Persona tonta o de poco entendimiento. | Testículos.;1;;
mastranto;Planta aromática del grupo de las mentas, conocida en Colombia y Venezuela por sus hojas fragantes y usos tradicionales medicinales y domésticos.;Hierba semirrastrera de hojas opuestas y de forma algo acorazonadas, borde dentado y superficie con vellosidades e inflorecencia de color azul, muy usada en la medicina tradicional.;1;;
fifirichas;Persona presumida y afectadamente elegante, que presta especial atención a su arreglo y apariencia.;que presume de gracioso | dicho de una persona, que le gusta aparentar;0;;
juguete;Persona que actúa como objeto de manipulación afectiva o lúdica por parte de otra, generalmente sin voz ni poder de decisión.;Referido a algo o a alguien, que reúne todo lo necesario para un fin.;0;;
carimañola;Empanada frita de masa de yuca rellena de carne condimentada y cocida, típica de la Costa Caribe colombiana.;empanada de yuca frita, rellena de carne, huevo o pescado | Masa de yuca molida y frita, rellena de carne o queso y con forma similar a la de un panecillo.;1;;
atembarse;Quedarse atolondrado, atontado o distraído, mostrando lentitud mental o confusión momentánea.;Confundirse, desconcertarse. | Desanimarse o acobardarse.;1;;
bodegaje;Almacenamiento de mercancías en bodegas o locales especiales destinados para este fin.;Almacenamiento de bienes o mercancías en locales o bodegas.;1;;
mundial;Expresión coloquial que intensifica algo como extraordinario, impresionante o de gran magnitud dentro de una conversación informal.;Referido a algo, extraordinario.;1;;
inyectología;Técnica o práctica de poner inyecciones.;Técnica o práctica de poner inyecciones. | aplicación de inyecciones;1;;
chapeto;Persona embriagada por el alcohol.;Referido a una persona, borracha.;1;;
chanfaina;Guiso tradicional a base de vísceras (cordero u oveja) y especias, también usado coloquialmente en Colombia para nombrar un puesto conseguido por influencias.;Plato que se prepara con vísceras de cordero con arroz mezclado con arveja, tomate, cebolla, ajo y pimentón. | cierto guiso de asadura de cerdo | Empleo. | empleo, colocación;1;;
banquetero;Persona contratada para encargarse del servicio de comida y atención en banquetes, fiestas o recepciones.;Persona que sirve comidas y bebidas en banquetes, fiestas o recepciones. | persona que tiene a su cargo el servicio de comida y licor en reuniones sociales;1;;
sudor;Término coloquial usado para describir mal olor corporal producido por la transpiración, especialmente cuando es fuerte o desagradable.;medicamento que hace sudar;0;;
aguaguado;Persona que muestra comportamientos infantiles, tímidos o dependientes, actuando de manera inmadura frente a situaciones cotidianas.;Referido a un niño o adolescente, consentido o que se comporta de manera infantil.;1;;
baby;Término coloquial usado como apelativo afectuoso para una pareja o persona querida, similar a ‘bebé’ pero con matiz moderno y romántico.;Celebración que se realiza antes del nacimiento de un niño en la cual los invitados le ofrecen regalos. | Conjunto de dormir femenino formado por un camisón corto, escotado y transparente y ropa interior de la misma tela.;0;;
carajito;En Colombia, carajito designa a un niño, especialmente si es inquieto o necio.;Niño que no ha cumplido siete años. | Persona inmadura y descortés. | niño de corta edad. según el contexto, puede tener un matiz despectivo o afectivo;0;;
pachochar;Tranquilidad y lentitud al hacer las cosas.;hacer algo con lentitud deliberada;1;;
cochada;Conjunto o lote de cosas o crías producidas o cocidas al mismo tiempo, usado para indicar una tanda, hornada o cantidad simultánea.;cantidad de hombres o de cosas | cantidad de miel que se trabaja en una operación para fabricar panela | Grupo de crías nacidas en un parto. | Conjunto de cosas de una misma especie, como pan, ladrillos, que se hornean al mismo tiempo. | Grupo de personas de la misma generación, que se graduaron en el mismo año o se posesionaron en un cargo al tiempo. | Conjunto de cosas con las mismas características.;1;;
alero;Saliente del techo que protege de la lluvia.;Tejado que sobresale de la pared y corredor en la fachada o en los costados de una casa que sirven para protegerse de la lluvia o el sol.;1;;
muñequera;Golpiza o pelea a puños propinada a una persona.;pelea a puños | Golpiza que se da con los puños.;1;;
corriente;Discusión intelectual o pensamiento profundo.;Invertir tiempo y ánimo en una actividad, una idea, o una persona para alcanzar un fin. | Recibir una descarga eléctrica fuerte por contacto con un objeto que la transmite directamente.;0;;
chistear;Hacer bromas o hablar en tono jocoso para provocar risa o distensión entre los presentes.;Hacer chistes o bromear.;1;;
cortada;Corte horizontal en la garganta con extracción de la lengua como forma de asesinato característica de la violencia en Colombia.;Herida en la piel hecha con un objeto filoso.;0;;
desangre;Pérdida masiva de dinero o recursos mediante robo, saqueo o explotación excesiva.;Derroche, despilfarro, especialmente de los bienes de un país.;1;;
helado;Estado de sorpresa o asombro intenso que deja a una persona inmóvil o sin reacción.;Crema helada mezclada con frutas, azúcar, leche y aromatizantes que adquiere consistencia al verterse en una paila de cobre que se hace girar manualmente, sobre trozos de hielo.;0;;
mañesada;Acción o cosa de mal gusto, vulgar o ordinaria.;Algo de mal gusto, escandaloso u ordinario.;1;;
guandoy;Persona torpe o incompetente que actúa con descuido y provoca problemas por su falta de habilidad.;guarapo;0;;
zambapalo;Desorden mayor y sin control.;Riña, gresca. | Ritmo usado para desfiles o parranda.;0;;
bagacear;Molestar persistente y pesadamente a alguien con comentarios, quejas o reproches.;desacreditar o despreciar a una persona;1;;
bananero;Persona vinculada al cultivo o comercio del banano o característica de zonas donde predominan estas plantaciones, y por extensión usada coloquialmente para describir ámbitos políticos o económicos dependientes, inestables o de bajo desarrollo.;Relacionado con el cultivo y la producción del banano. | Persona que cultiva banano o comercializa con él. | Plantación de banano. | Compañía que se dedica a la producción y comercialización del banano.;1;;
calzonarias;Tirantes o correas elásticas que se usan para sostener el pantalón desde los hombros.;Par de tiras, generalmente elásticas, que sirven para sostener de los hombros el pantalón o alguna otra prenda de vestir.;1;;
sebucán;Colador de hojas de palma entretejidas utilizado para exprimir la yuca rallada y eliminar su zumo venenoso en la elaboración del casabe.;Exprimidor de forma generalmente tubular y tejido de diversas fibras vegetales que sirve para extraer mediante su torción el líquido tóxico de la yuca brava. | colador indígena, fabricado de hojas de palma, para extraer el jugo venenoso de la yuca brava;1;;
dorado;Persona extremadamente atractiva o guapa.;Pez comestible de agua dulce, de hasta 2 m de longitud, de cuerpo alargado y cilíndrico sin escamas, de color dorado brillante, cabeza achatada y ojos en posición superior.;0;;
guato;Vientre o barriga abultada.;dicho de un animal o persona, que tiene poca estatura | dicho de la papa, que es pequeña;0;;
secretos;Información reservada o conocimientos guardados que no se divulgan públicamente.;Oraciones o rezos que conocen los médicos tradicionales o sabedores para sanación o curación, transmitidos por herencia familiar.;0;;
caspetudo;Persona pretenciosa o presumida que muestra arrogancia y busca aparentar más de lo que realmente posee.;dicho de algunas bebidas, espeso;0;;
panocha;En Colombia, panocha designa una arepa grande con panela o una empanada gigante, o vulg. los genitales femeninos.;Postre de forma redonda y un poco alargada en sus extremos, que se elabora con una masa blanda de arequipe rellena generalmente de coco. | Pan grande, relleno de dulce y queso. | Vulva. | Arepa de maíz tierno que se asa envuelta en hojas de plátano. | vulva | arepa grande hecha de maíz tierno (choclo) que se envuelve en hojas de plátano y se asa en la brasa | pan grande, relleno de dulce y queso | empanada pequeña hecha con arequipe y rellena con coco rallado;1;;
gacho;Persona jorobada o encorvada hacia abajo.;Referido a una persona, que tiene joroba.;1;;
oste;Interjección coloquial usada para expresar rechazo, negación o para indicar que alguien no dice nada en una situación determinada.;voz que emplean los campesinos para detener a los bueyes de trabajo;0;;
cuscús;Término coloquial usado en Colombia para describir el tipo de cabello muy rizado y compacto característico de personas afrodescendientes.;fuerza, vigor | dicho del pelo, corto y ensortijado;1;;
grama;Hierba o pasto que cubre el suelo en campos abiertos.;Hierba de follaje delgado y fino, que se siembra en jardines y canchas deportivas.;1;;
enclochar;Perjudicar a alguien.;Accionar el sistema de embrague o clotch de un automotor.;0;;
necear;No es un modismo o expresión idiomática reconocida en el español colombiano.;molestar, portarse mal, no hacer caso;0;;
roncar;Presumir o alardear de algo con ostentación.;Sonar un canalete al introducirse en el agua para impulsar una embarcación.;0;;
nariguera;Aro de metal que se coloca en la nariz de cerdos, reses o ganado para controlarlo.;aro de metal que se pone a algunos cerdos y reses en la nariz | Anillo que se pone en la nariz del ganado para controlarlo.;1;;
puñera;Golpiza o serie de golpes dados con los puños durante una pelea.;serie de puñetazos | Pelea que se realiza a puños, sin uso de guantes u otro medio.;1;;
chulpe;Chulpe es maíz de grano menudo, rugoso y alargado que se consume tostado.;especie de maíz blando;0;;
guascuda;Madera o fibra vegetal rígida y resistente, con textura áspera y apariencia seca utilizada en trabajo artesanal o como combustible.;Referido a la yuca, que adquiere una consistencia dura y poco jugosa después de cocinarla.;0;;
pandear;Torcerse o curvarse una cosa.;Doblar, curvarse algo generalmente por el centro.;1;;
bichirón;Persona que anda vagabundeando o recorriendo distintos lugares sin rumbo fijo.;que vagabundea, que va de una parte a otra;1;;
cartelear;En Colombia, cartelear significa presumir o jactarse de algo.;Poner en evidencia a alguien en las redes sociales divulgando algo que puede ser polémico.;0;;
fija;En Antioquia, capricho o idea obsesiva que se impone con tenacidad.;Con seguridad total y sin temor a equivocarse.;1;;
operático;Que tiene características propias de la ópera o del género operístico, especialmente en su estilo elevado, grandilocuente o teatral.;Relacionado con la ópera.;1;;
desempastar;Quitar la pasta a un libro.;Quitar la pasta a un libro. | quitar a un libro la pasta;1;;
majagua;Árbol tropical de la familia de las malváceas, de tronco robusto y flores grandes, cuya fibra y semillas se usan tradicionalmente para cuerdas y rellenos.;Árbol de hasta 20 m de altura, de copa extendida y frondoso que se cultiva en climas cálidos, cuya madera y fibra vegetal se usan para la industria textil. | Fibra vegetal que se obtiene de este árbol.;1;;
tapiado, da;Persona corpulenta o de complexión robusta, usada en registros coloquiales colombianos.;Referido a una prenda de vestir, que tiene una abertura. | Referido a un objeto, que tiene una hendidura o grieta en la superficie.;0;;
manotada;Cantidad de algo que se puede contener en el hueco de la mano o de las dos manos juntas.;Cantidad o porción de algo que puede caber en la concavidad de una mano o de ambas. | Gran cantidad.;1;;
desabrochado;Persona que actúa de manera informal, descortés o poco comedida, mostrando falta de modales o prudencia.;que actúa de manera informal, ruda, descortés;1;;
jalarle;En Colombia, tener relaciones sexuales con alguien.;comprometerse a algo | a algo . practicar alguna actividad;0;;
tarra;"Persona de edad avanzada; término coloquial que suele emplearse de manera despectiva para referirse a alguien viejo.";Cabeza de una persona.;0;;
trapear;Acción de fregar o limpiar el piso con un trapo o trapeador húmedo.;Pasar un trapeador u otro utensilio doméstico absorbente sobre el suelo para limpiarlo.;1;;
meque;Expresión coloquial usada en Colombia para indicar sorpresa o incredulidad breve frente a algo inesperado o llamativo.;Fuerza, potencia.;0;;
tableado;Estado de estar drogado o bajo los efectos de alguna sustancia que genera confusión mental.;abundante, por ejemplo, comida;0;;
igua;Persona o cosa ordinaria, mal vestida o sin modales.;papa de baja calidad que nace en una sementera de semilla que queda rezagada al tiempo de la cosecha;0;;
bichuria;En Colombia, persona desagradable, despreciable, inútil o molesta que genera desagrado.;conjunto de menudencias de cabrito y oveja;0;;
génova;En jerga colombiana (especialmente paisa), término coloquial para describir a una persona presumida o que hace alarde de su estatus social y apariencia.;Embutido de carne de res y cerdo condimentada con ajo, sal, pimienta y comino. | butifarra, embutido preparado principalmente con carne de cerdo, en pequeñas bolas, que suele presentarse en sartas;0;;
acusaletas;Persona que delata, chismea o acusa a otros de manera indiscreta y persistente.;Referido a una persona, que tiene por costumbre acusar a otros.;1;;
farmaceuta;Farmacéutico en Colombia.;Persona que cuenta con un título académico para ejercer la farmacia.;1;;
trozuda;Mujer de figura robusta o con curvas marcadas, de complexión más bien recia pero no necesariamente obesa.;Referido a una mujer, voluptuosa.;1;;
chisacá;Planta herbácea de tallos rojizos y flores amarillas usada en la medicina tradicional y considerada maleza en cultivos.;Hierba de hasta 60 cm de altura, de tallos rojizos, hojas opuestas y flores de color amarillo, tiene usos medicinales y es propia de los climas medios y fríos. | planta silvestre que se emplea como forraje, muy usada en la medicina popular;1;;
novena;Reunión ritual de devoción y comunidad que se celebra en las noches durante nueve días antes de la Navidad, con oraciones, cantos (gozos) y convivencia familiar.;En béisbol, grupo de jugadores que forman un equipo.;1;;
