Ejemplo;Modismo;Definición Real;Sinónimo;Definición Sinónimo;Acorde;Def. real; ;;
ese puente que hicieron fue una chambonada;chambonada;trabajo imperfecto, mal hecho;chapuza;trabajo mal hecho sin esmero;1;1;;;
La verdad es que hace un tiempo andaba rara, no hablaba con nadie, vivía elevada en horas de clase, no llevaba tareas.;elevado;Referido a una persona, distraída ocupada en sus propios pensamientos.;drogada;bajo efectos de sustancias alucinógenas o narcóticas;0;1;;;
El árbol Pácora crece a lo largo de la selva, gracias a su tronco largo y delgado siempre al vaivén de las olas.;pácora;Árbol que alcanza hasta los 22 m de altura, de hojas verdes simples agrupadas al final de las ramas, flores de color amarillo, de uso melífero, maderable y ornamental.;árbol flexible;árbol de tronco largo y delgado que se balancea con facilidad;0;1;;;
Arrasó la aplanadora. Finalmente el Gobierno ganó el pulso y logró aprobar su reforma tributaria.;aplanadora;Persona o entidad que, por su poder físico o intelectual, derrota fácilmente a la competencia.;maquinaria arrolladora;grupo o fuerza que impone su voluntad y derrota la oposición;1;0;;;
El mototaxista accidentado, al parecer no hizo la escuadra cuando salía de la calle y eso lo mató.;escuadra;Señal de tránsito que obliga a los conductores a detenerse y ceder el paso.;detenerse;Parar completamente el vehículo.;0;1;;;
si yo supiera lo cierto/cuál jue el que te aconsejó,/te mandara tus maicitos,/ aparte del abagó;abagó;selección de los mejores frutos de la cosecha de maíz, papa u otros productos agrícolas, con los que se suelen obsequiar a los amigos o a los cogedores;parte escogida;Selección de los mejores frutos de la cosecha.;1;0;;;
Incluyeron en el menú de postres el merengón de guanábana y el postre de tres leches.;merengón;Postre con varias capas de merengue, crema de leche y frutas.;postre de merengue con frutas y crema;Dulce colombiano de capas crujientes de merengue, relleno de crema y fruta fresca.;1;1;;;
Presenta incluso árboles de chamburo en el lecho antiguo del río evidenciándose su avanzado proceso de sucesión.;chamburo;Arbusto de más de 2 m, tronco que se torna de verde a gris en edad adulta, no leñoso, de flores acampanadas amarillas y fruto alargado.;árbol nativo;Especie arbórea propia de la zona, característica de la vegetación natural;0;1;;;
En los pueblos del departamento del Casanare, el sancocho de costilla, la mamona, las hayacas y las cachapas, son muestras de la gastronomía de los llanos.;cachapa;Tipo de arepa elaborada con maíz tierno, y que se sirve generalmente rellena de queso fresco.;arepa dulce;Tortilla gruesa de maíz tierno molido con azúcar, cocida a la plancha.;1;1;;;
Diseño de punta tipo corazón con cordonera con chiripiado y perforado en los bordes.;perforado;En la industria marroquinera, técnica usada para decorar la pieza de cuero con diferentes figuras angulares o circulares.;con agujereado;bordes con pequeños orificios decorativos;1;0;;;
Las medias veladas deben ser acordes con el color de la piel y/o del vestuario.;media;Las que son delgadas, de nailon u otros materiales que cubren el pie y la pierna hasta la cintura.;pantys;prenda ajustada y fina que cubre las piernas y pies;1;0;;;
Mi abuela solía comprar la carne en la única fama que había en el pueblo.;fama;Establecimiento en el que se vende carne.;carnicería;Lugar donde se vende carne cortada.;1;1;;;
Es innegable que el manicure es una técnica de belleza que brinda a las uñas una apariencia agradable a la vista y proyecta una imagen.;manicure;Cuidado de las uñas de las manos en el que generalmente se cortan, liman y pintan.;manicura colombiana;Técnica tradicional de higiene y belleza para manos y uñas.;1;1;;;
Los altoparlantes de la iglesia y las campanas se cansaron durante dos días de invitar a la gran misa con diáconos y ropajes en honor al párroco.;altoparlante;Aparato eléctrico para amplificar el sonido, especialmente en espacios públicos o abiertos.;altavoz;Dispositivo que amplifica y proyecta sonido;1;1;;;
El carisellazo de una moneda decide cuál de los dos equipos arranca el juego con la posesión del balón.;carisellazo;Lanzamiento de una moneda a cara o sello para decidir aleatoriamente un asunto o el curso de una acción.;cara o sello;lanzamiento de moneda para decidir al azar;1;1;;;
Al filimisco de su sobrino no le gustó nada de lo que preparamos para la celebración: ni la langosta, ni las frutas, ni el postre.;filimisco;Referido a una persona, complicada, especialmente para comer.;quisquilloso;Persona muy exigente y difícil de complacer;1;1;;;
